,prop,subevent,role,causation,syntax,MRR,H@1,H@3,H@10,method,td
295,0,1,0,1,simple_rdf_sp,0.13338,0.0897436,0.123932,0.194444,ULTRA,simple-triple
299,1,0,0,1,simple_rdf_prop,0.293031,0.228448,0.288793,0.409483,ULTRA,simple-triple
577,1,1,0,1,simple_rdf_prop,0.352763,0.302174,0.367391,0.445652,ULTRA,simple-triple
604,1,0,0,1,simple_rdf_sp,0.280282,0.225,0.2625,0.370833,ULTRA,simple-triple
611,1,1,0,1,simple_rdf_sp,0.345559,0.294872,0.350427,0.431624,ULTRA,simple-triple
666,0,0,0,1,simple_rdf_sp,0.147686,0.0791667,0.15,0.245833,ULTRA,simple-triple
678,1,1,0,1,simple_rdf_reification,0.308385,0.287037,0.305556,0.352623,ULTRA,simple-triple
737,0,0,0,1,simple_rdf_reification,0.247364,0.217054,0.24031,0.296512,ULTRA,simple-triple
785,0,1,0,1,simple_rdf_prop,0.125541,0.0745614,0.125,0.20614,ULTRA,simple-triple
797,0,0,0,1,simple_rdf_prop,0.154058,0.0905172,0.133621,0.271552,ULTRA,simple-triple
891,1,0,0,1,simple_rdf_reification,0.310958,0.275194,0.312016,0.356589,ULTRA,simple-triple
1121,0,0,1,0,simple_rdf_reification,0.23779,0.221759,0.239831,0.268163,ULTRA,simple-triple
1122,0,1,1,1,simple_rdf_sp,0.0501921,0.0296446,0.0511873,0.0822879,ULTRA,simple-triple
1123,1,1,1,1,simple_rdf_sp,0.045568,0.0297185,0.0481217,0.0710055,ULTRA,simple-triple
1124,0,1,1,0,simple_rdf_prop,0.05005,0.0295183,0.0510343,0.0824777,ULTRA,simple-triple
1125,1,1,1,1,simple_rdf_prop,0.0453435,0.0297438,0.0482736,0.0694866,ULTRA,simple-triple
1127,0,1,0,1,simple_rdf_reification,0.237883,0.212191,0.243056,0.282407,ULTRA,simple-triple
1129,1,0,1,1,simple_rdf_reification,0.251605,0.239733,0.253148,0.273711,ULTRA,simple-triple
1130,1,1,1,0,simple_rdf_sp,0.0456229,0.0296053,0.0474806,0.0724449,ULTRA,simple-triple
1131,0,0,1,1,simple_rdf_sp,0.058861,0.0312921,0.0572847,0.107587,ULTRA,simple-triple
1132,0,0,1,1,simple_rdf_prop,0.0589584,0.0313237,0.0575109,0.107107,ULTRA,simple-triple
1133,0,0,1,1,simple_rdf_reification,0.236613,0.220725,0.238459,0.266314,ULTRA,simple-triple
1137,0,1,1,1,simple_rdf_prop,0.0497059,0.0294293,0.0500822,0.0812295,ULTRA,simple-triple
1139,1,0,1,0,simple_rdf_sp,0.0524238,0.0320827,0.0522315,0.0873386,ULTRA,simple-triple
1142,1,1,1,0,simple_rdf_prop,0.0454628,0.0296563,0.0473786,0.0721899,ULTRA,simple-triple
1143,0,0,1,0,simple_rdf_prop,0.0606299,0.0329915,0.0593162,0.107607,ULTRA,simple-triple
1145,1,0,1,1,simple_rdf_prop,0.0552772,0.0336445,0.0568182,0.0915584,ULTRA,simple-triple
1148,1,0,1,0,simple_rdf_prop,0.0525624,0.0322159,0.0527392,0.0878577,ULTRA,simple-triple
1149,0,0,1,0,simple_rdf_sp,0.0608947,0.0332251,0.0592757,0.107106,ULTRA,simple-triple
1150,1,0,1,1,simple_rdf_sp,0.0549251,0.0331061,0.0565157,0.0912447,ULTRA,simple-triple
1151,0,1,1,0,simple_rdf_sp,0.0504302,0.0296981,0.0512075,0.0838491,ULTRA,simple-triple
1153,1,0,1,0,simple_rdf_reification,0.251176,0.239558,0.25276,0.272226,ULTRA,simple-triple
