,prop,subevent,role,causation,hp,metric,corr,pval,exp_count,method,td
0,0,0,0,0,ckpt_nb,MRR,0.39127925257517254,0.00025455847673177683,83,ULTRA,simple-triple
1,0,0,0,0,ckpt_nb,H@1,-0.23128355298712322,0.03540004058907843,83,ULTRA,simple-triple
2,0,0,0,0,ckpt_nb,H@3,0.7554555429536796,1.5508714225306368e-16,83,ULTRA,simple-triple
3,0,0,0,0,ckpt_nb,H@10,0.8349909521646273,1.020162761351128e-22,83,ULTRA,simple-triple
9,0,0,0,0,train_batch_size,H@1,-0.2930885190957282,0.00716678560238913,83,ULTRA,simple-triple
21,0,0,0,0,batch_size,H@1,-0.26171529800565313,0.016848511196061632,83,ULTRA,simple-triple
28,0,0,0,1,ckpt_nb,MRR,0.3637561587766658,3.5704766779542115e-09,248,ULTRA,simple-triple
29,0,0,0,1,ckpt_nb,H@1,0.1944823526486501,0.0020932813491235393,248,ULTRA,simple-triple
30,0,0,0,1,ckpt_nb,H@3,0.3964246371694169,9.24832684204816e-11,248,ULTRA,simple-triple
31,0,0,0,1,ckpt_nb,H@10,0.4713329921442163,4.042351768827483e-15,248,ULTRA,simple-triple
52,0,0,0,1,mode_numeric,MRR,-0.3143785276669084,4.3137464377767655e-07,248,ULTRA,simple-triple
53,0,0,0,1,mode_numeric,H@1,-0.27342905289653413,1.255439152501361e-05,248,ULTRA,simple-triple
54,0,0,0,1,mode_numeric,H@3,-0.25188873513499244,6.031362405737797e-05,248,ULTRA,simple-triple
55,0,0,0,1,mode_numeric,H@10,-0.44633822922354366,1.5200644169016363e-13,248,ULTRA,simple-triple
112,0,1,0,0,ckpt_nb,MRR,0.639042096454065,7.969571625079252e-11,83,ULTRA,simple-triple
113,0,1,0,0,ckpt_nb,H@1,0.49520326639854856,1.942204254181844e-06,83,ULTRA,simple-triple
114,0,1,0,0,ckpt_nb,H@3,0.5886423075080315,4.83709033353628e-09,83,ULTRA,simple-triple
115,0,1,0,0,ckpt_nb,H@10,0.2826628534530493,0.009621097735782166,83,ULTRA,simple-triple
124,0,1,0,0,train_num_epoch,MRR,-0.34290908410670473,0.0015062395391632465,83,ULTRA,simple-triple
125,0,1,0,0,train_num_epoch,H@1,-0.37633092491240844,0.00045424655544633113,83,ULTRA,simple-triple
127,0,1,0,0,train_num_epoch,H@10,-0.3841267991403214,0.00033699113526537206,83,ULTRA,simple-triple
131,0,1,0,0,batch_per_epoch,H@10,-0.27152333372527204,0.013027457804381784,83,ULTRA,simple-triple
136,0,1,0,0,mode_numeric,MRR,-0.4460478597444598,2.376745399943295e-05,83,ULTRA,simple-triple
137,0,1,0,0,mode_numeric,H@1,-0.45024808983880965,1.9474070870109576e-05,83,ULTRA,simple-triple
138,0,1,0,0,mode_numeric,H@3,-0.5146565147562139,6.442595958538845e-07,83,ULTRA,simple-triple
139,0,1,0,0,mode_numeric,H@10,-0.3362509015621535,0.0018838164201939373,83,ULTRA,simple-triple
140,0,1,0,1,ckpt_nb,MRR,0.38279080327081916,4.1151707613784674e-10,249,ULTRA,simple-triple
141,0,1,0,1,ckpt_nb,H@1,0.3250394872292464,1.5511886833440268e-07,249,ULTRA,simple-triple
142,0,1,0,1,ckpt_nb,H@3,0.36747733221236634,2.2305914730206613e-09,249,ULTRA,simple-triple
143,0,1,0,1,ckpt_nb,H@10,0.3219310536370637,2.065535067433082e-07,249,ULTRA,simple-triple
164,0,1,0,1,mode_numeric,MRR,-0.1494754763494361,0.018270538864137178,249,ULTRA,simple-triple
165,0,1,0,1,mode_numeric,H@1,-0.1433635195994202,0.023663117489697814,249,ULTRA,simple-triple
166,0,1,0,1,mode_numeric,H@3,-0.16612087505584808,0.008628640945022817,249,ULTRA,simple-triple
171,0,1,1,0,ckpt_nb,H@10,0.956182887467515,0.002837845926734439,6,ULTRA,simple-triple
199,0,1,1,1,ckpt_nb,H@10,0.956182887467515,0.002837845926734439,6,ULTRA,simple-triple
224,1,0,0,0,ckpt_nb,MRR,-0.2264048005699442,0.03957360083539565,83,ULTRA,simple-triple
225,1,0,0,0,ckpt_nb,H@1,-0.2318553318006829,0.034935972823158086,83,ULTRA,simple-triple
